word,pca_1,pca_2,count
win,0.712049126625061,-2.1269047260284424,20
free,1.301290512084961,-0.9053245782852173,61
prize,-1.1332796812057495,-0.4465877413749695,6
cash,-0.17517980933189392,3.383671998977661,4
urgent,1.4366799592971802,-1.3779624700546265,11
claim,1.6189137697219849,-3.3342342376708984,26
call,-0.9136091470718384,0.28085726499557495,82
reward,-5.078490257263184,-1.7435306310653687,8
meeting,5.3954901695251465,1.9891479015350342,71
thanks,2.017401695251465,2.2770156860351562,135
lunch,-3.112734794616699,2.3986005783081055,27
tonight,0.9533424377441406,-5.179547309875488,29
work,-4.139617443084717,1.2765625715255737,26
home,1.1177393198013306,3.5082318782806396,31
