experiment,embedding_dim,hidden_units,sequence_length,dropout_1,parameters,epochs_run,training_time,train_acc,val_acc,test_accuracy,precision,recall,f1,roc_auc,average_precision
Exp_A_Compact_32,32,32,40,0.2,14593,15,1.276,1.0,0.9917,1.0,1.0,1.0,1.0,1.0,1.0
Exp_B_Baseline_64,64,64,40,0.3,34305,15,1.506,1.0,0.9917,1.0,1.0,1.0,1.0,1.0,1.0
Exp_C_HighCap_128,128,128,40,0.3,89089,15,1.756,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Exp_D_SeqLen_20,64,64,20,0.3,34305,15,1.065,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Exp_D_SeqLen_40,64,64,40,0.3,34305,15,1.456,1.0,0.9917,1.0,1.0,1.0,1.0,1.0,1.0
Exp_D_SeqLen_60,64,64,60,0.3,34305,15,2.015,1.0,0.9917,1.0,1.0,1.0,1.0,1.0,1.0
Exp_D_SeqLen_100,64,64,100,0.3,34305,15,2.864,1.0,0.9917,1.0,1.0,1.0,1.0,1.0,1.0
