Threshold,FP_Count,FN_Count,Total_Cost,Avg_Cost_Per_Customer
0.05,252,0,75600.0,151.2
0.06,235,0,70500.0,141.0
0.07,224,1,69200.0,138.4
0.08,211,1,65300.0,130.6
0.09,202,1,62600.0,125.2
0.09999999999999999,191,1,59300.0,118.6
0.10999999999999999,178,1,55400.0,110.8
0.12,159,2,51700.0,103.4
0.13,143,2,46900.0,93.8
0.13999999999999999,123,2,40900.0,81.8
0.14999999999999997,105,2,35500.0,71.0
0.15999999999999998,98,2,33400.0,66.8
0.16999999999999998,85,2,29500.0,59.0
0.18,79,2,27700.0,55.4
0.19,67,2,24100.0,48.2
0.19999999999999996,62,2,22600.0,45.2
0.20999999999999996,54,2,20200.0,40.4
0.21999999999999997,46,2,17800.0,35.6
0.22999999999999998,41,2,16300.0,32.6
0.24,37,3,17100.0,34.2
0.24999999999999994,33,3,15900.0,31.8
0.25999999999999995,30,3,15000.0,30.0
0.26999999999999996,26,3,13800.0,27.6
0.27999999999999997,22,3,12600.0,25.2
0.29,22,3,12600.0,25.2
0.3,20,3,12000.0,24.0
0.30999999999999994,19,4,13700.0,27.4
0.31999999999999995,19,4,13700.0,27.4
0.32999999999999996,18,4,13400.0,26.8
0.33999999999999997,16,4,12800.0,25.6
0.3499999999999999,14,4,12200.0,24.4
0.35999999999999993,14,5,14200.0,28.4
0.36999999999999994,14,5,14200.0,28.4
0.37999999999999995,13,5,13900.0,27.8
0.38999999999999996,13,5,13900.0,27.8
0.3999999999999999,13,5,13900.0,27.8
0.4099999999999999,13,5,13900.0,27.8
0.41999999999999993,12,5,13600.0,27.2
0.42999999999999994,12,5,13600.0,27.2
0.43999999999999995,12,5,13600.0,27.2
0.4499999999999999,12,5,13600.0,27.2
0.4599999999999999,12,5,13600.0,27.2
0.4699999999999999,11,5,13300.0,26.6
0.4799999999999999,11,6,15300.0,30.6
0.48999999999999994,10,7,17000.0,34.0
0.49999999999999994,9,7,16700.0,33.4
0.5099999999999999,9,7,16700.0,33.4
0.5199999999999999,9,8,18700.0,37.4
0.5299999999999999,9,8,18700.0,37.4
0.5399999999999999,9,8,18700.0,37.4
0.5499999999999999,9,9,20700.0,41.4
0.5599999999999999,9,9,20700.0,41.4
0.57,8,9,20400.0,40.8
0.58,8,10,22400.0,44.8
0.59,8,10,22400.0,44.8
0.6,8,10,22400.0,44.8
0.61,8,10,22400.0,44.8
0.62,8,10,22400.0,44.8
0.63,8,11,24400.0,48.8
0.6399999999999999,8,12,26400.0,52.8
0.6499999999999999,8,13,28400.0,56.8
0.6599999999999999,8,15,32400.0,64.8
0.6699999999999999,8,16,34400.0,68.8
0.6799999999999999,8,17,36400.0,72.8
0.69,7,17,36100.0,72.2
0.7,7,21,44100.0,88.2
0.71,7,22,46100.0,92.2
0.72,7,23,48100.0,96.2
0.73,7,23,48100.0,96.2
0.74,7,23,48100.0,96.2
0.7499999999999999,7,25,52100.0,104.2
0.7599999999999999,7,27,56100.0,112.2
0.7699999999999999,7,28,58100.0,116.2
0.7799999999999999,7,30,62100.0,124.2
0.7899999999999999,6,30,61800.0,123.6
0.7999999999999999,6,30,61800.0,123.6
0.8099999999999999,5,33,67500.0,135.0
0.82,5,35,71500.0,143.0
0.83,4,40,81200.0,162.4
0.84,3,44,88900.0,177.8
0.8499999999999999,3,51,102900.0,205.8
0.8599999999999999,3,56,112900.0,225.8
0.8699999999999999,3,60,120900.0,241.8
0.8799999999999999,2,71,142600.0,285.2
0.8899999999999999,1,77,154300.0,308.6
0.8999999999999999,1,86,172300.0,344.6
0.9099999999999999,0,99,198000.0,396.0
0.9199999999999999,0,108,216000.0,432.0
0.9299999999999999,0,116,232000.0,464.0
0.94,0,122,244000.0,488.0
0.95,0,123,246000.0,492.0
