Threshold,Precision,Recall,F1_Score,Accuracy
0.05,0.3333333333333333,1.0,0.5,0.496
0.06,0.3490304709141274,1.0,0.5174537987679672,0.53
0.07,0.35816618911174786,0.9920634920634921,0.5263157894736842,0.55
0.08,0.37202380952380953,0.9920634920634921,0.5411255411255411,0.576
0.09,0.382262996941896,0.9920634920634921,0.5518763796909493,0.594
0.09999999999999999,0.39556962025316456,0.9920634920634921,0.5656108597285068,0.616
0.10999999999999999,0.41254125412541254,0.9920634920634921,0.5827505827505828,0.642
0.12,0.4381625441696113,0.9841269841269841,0.6063569682151589,0.678
0.13,0.46441947565543074,0.9841269841269841,0.6310432569974554,0.71
0.13999999999999999,0.5020242914979757,0.9841269841269841,0.6648793565683646,0.75
0.14999999999999997,0.5414847161572053,0.9841269841269841,0.6985915492957746,0.786
0.15999999999999998,0.5585585585585585,0.9841269841269841,0.7126436781609196,0.8
0.16999999999999998,0.5933014354066986,0.9841269841269841,0.7402985074626866,0.826
0.18,0.6108374384236454,0.9841269841269841,0.7537993920972644,0.838
0.19,0.6492146596858639,0.9841269841269841,0.7823343848580442,0.862
0.19999999999999996,0.6666666666666666,0.9841269841269841,0.7948717948717948,0.872
0.20999999999999996,0.6966292134831461,0.9841269841269841,0.8157894736842105,0.888
0.21999999999999997,0.7294117647058823,0.9841269841269841,0.8378378378378378,0.904
0.22999999999999998,0.7515151515151515,0.9841269841269841,0.852233676975945,0.914
0.24,0.76875,0.9761904761904762,0.8601398601398601,0.92
0.24999999999999994,0.7884615384615384,0.9761904761904762,0.8723404255319149,0.928
0.25999999999999995,0.803921568627451,0.9761904761904762,0.8817204301075269,0.934
0.26999999999999996,0.825503355704698,0.9761904761904762,0.8945454545454545,0.942
0.27999999999999997,0.8482758620689655,0.9761904761904762,0.9077490774907749,0.95
0.29,0.8482758620689655,0.9761904761904762,0.9077490774907749,0.95
0.3,0.8601398601398601,0.9761904761904762,0.9144981412639405,0.954
0.30999999999999994,0.8652482269503546,0.9682539682539683,0.9138576779026217,0.954
0.31999999999999995,0.8652482269503546,0.9682539682539683,0.9138576779026217,0.954
0.32999999999999996,0.8714285714285714,0.9682539682539683,0.9172932330827067,0.956
0.33999999999999997,0.8840579710144928,0.9682539682539683,0.9242424242424242,0.96
0.3499999999999999,0.8970588235294118,0.9682539682539683,0.9312977099236641,0.964
0.35999999999999993,0.8962962962962963,0.9603174603174603,0.9272030651340997,0.962
0.36999999999999994,0.8962962962962963,0.9603174603174603,0.9272030651340997,0.962
0.37999999999999995,0.9029850746268657,0.9603174603174603,0.9307692307692308,0.964
0.38999999999999996,0.9029850746268657,0.9603174603174603,0.9307692307692308,0.964
0.3999999999999999,0.9029850746268657,0.9603174603174603,0.9307692307692308,0.964
0.4099999999999999,0.9029850746268657,0.9603174603174603,0.9307692307692308,0.964
0.41999999999999993,0.9097744360902256,0.9603174603174603,0.9343629343629344,0.966
0.42999999999999994,0.9097744360902256,0.9603174603174603,0.9343629343629344,0.966
0.43999999999999995,0.9097744360902256,0.9603174603174603,0.9343629343629344,0.966
0.4499999999999999,0.9097744360902256,0.9603174603174603,0.9343629343629344,0.966
0.4599999999999999,0.9097744360902256,0.9603174603174603,0.9343629343629344,0.966
0.4699999999999999,0.9166666666666666,0.9603174603174603,0.937984496124031,0.968
0.4799999999999999,0.916030534351145,0.9523809523809523,0.933852140077821,0.966
0.48999999999999994,0.9224806201550387,0.9444444444444444,0.9333333333333333,0.966
0.49999999999999994,0.9296875,0.9444444444444444,0.937007874015748,0.968
0.5099999999999999,0.9296875,0.9444444444444444,0.937007874015748,0.968
0.5199999999999999,0.9291338582677166,0.9365079365079365,0.932806324110672,0.966
0.5299999999999999,0.9291338582677166,0.9365079365079365,0.932806324110672,0.966
0.5399999999999999,0.9291338582677166,0.9365079365079365,0.932806324110672,0.966
0.5499999999999999,0.9285714285714286,0.9285714285714286,0.9285714285714286,0.964
0.5599999999999999,0.9285714285714286,0.9285714285714286,0.9285714285714286,0.964
0.57,0.936,0.9285714285714286,0.9322709163346613,0.966
0.58,0.9354838709677419,0.9206349206349206,0.928,0.964
0.59,0.9354838709677419,0.9206349206349206,0.928,0.964
0.6,0.9354838709677419,0.9206349206349206,0.928,0.964
0.61,0.9354838709677419,0.9206349206349206,0.928,0.964
0.62,0.9354838709677419,0.9206349206349206,0.928,0.964
0.63,0.9349593495934959,0.9126984126984127,0.9236947791164659,0.962
0.6399999999999999,0.9344262295081968,0.9047619047619048,0.9193548387096774,0.96
0.6499999999999999,0.9338842975206612,0.8968253968253969,0.9149797570850202,0.958
0.6599999999999999,0.9327731092436975,0.8809523809523809,0.9061224489795918,0.954
0.6699999999999999,0.9322033898305084,0.873015873015873,0.9016393442622951,0.952
0.6799999999999999,0.9316239316239316,0.8650793650793651,0.897119341563786,0.95
0.69,0.9396551724137931,0.8650793650793651,0.9008264462809917,0.952
0.7,0.9375,0.8333333333333334,0.8823529411764706,0.944
0.71,0.9369369369369369,0.8253968253968254,0.8776371308016878,0.942
0.72,0.9363636363636364,0.8174603174603174,0.8728813559322034,0.94
0.73,0.9363636363636364,0.8174603174603174,0.8728813559322034,0.94
0.74,0.9363636363636364,0.8174603174603174,0.8728813559322034,0.94
0.7499999999999999,0.9351851851851852,0.8015873015873016,0.8632478632478633,0.936
0.7599999999999999,0.9339622641509434,0.7857142857142857,0.853448275862069,0.932
0.7699999999999999,0.9333333333333333,0.7777777777777778,0.8484848484848485,0.93
0.7799999999999999,0.9320388349514563,0.7619047619047619,0.8384279475982532,0.926
0.7899999999999999,0.9411764705882353,0.7619047619047619,0.8421052631578947,0.928
0.7999999999999999,0.9411764705882353,0.7619047619047619,0.8421052631578947,0.928
0.8099999999999999,0.9489795918367347,0.7380952380952381,0.8303571428571429,0.924
0.82,0.9479166666666666,0.7222222222222222,0.8198198198198198,0.92
0.83,0.9555555555555556,0.6825396825396826,0.7962962962962963,0.912
0.84,0.9647058823529412,0.6507936507936508,0.7772511848341233,0.906
0.8499999999999999,0.9615384615384616,0.5952380952380952,0.7352941176470589,0.892
0.8599999999999999,0.958904109589041,0.5555555555555556,0.7035175879396985,0.882
0.8699999999999999,0.9565217391304348,0.5238095238095238,0.676923076923077,0.874
0.8799999999999999,0.9649122807017544,0.4365079365079365,0.6010928961748634,0.854
0.8899999999999999,0.98,0.3888888888888889,0.5568181818181818,0.844
0.8999999999999999,0.975609756097561,0.31746031746031744,0.47904191616766467,0.826
0.9099999999999999,1.0,0.21428571428571427,0.35294117647058826,0.802
0.9199999999999999,1.0,0.14285714285714285,0.25,0.784
0.9299999999999999,1.0,0.07936507936507936,0.14705882352941177,0.768
0.94,1.0,0.031746031746031744,0.06153846153846154,0.756
0.95,1.0,0.023809523809523808,0.046511627906976744,0.754
