Model,Accuracy,Macro F1,Weighted F1,ROC-AUC (OvR Macro),Low Recall,Medium Recall,High Recall
Logistic_OvR,0.8032454361054767,0.7672577221770279,0.7903224608777707,0.9357435610582442,0.9785407725321889,0.5071428571428571,0.8083333333333333
Balanced_Logistic_OvR,0.8519269776876268,0.8276178266656228,0.8489278438815141,0.9368160649861648,0.9656652360515021,0.6928571428571428,0.8166666666666667
Random_Forest,0.7849898580121704,0.7465725495036892,0.7767517579368468,0.9094834761743152,0.9742489270386266,0.5785714285714286,0.6583333333333333
