Feature,Linear_Coef,Linear_Abs,Ridge_Coef,Ridge_Abs,Lasso_Coef,Lasso_Abs
Feature_0,2200.748176921266,2200.748176921266,2197.544321894091,2197.544321894091,2200.0253514654396,2200.0253514654396
Feature_1,3724.857620540477,3724.857620540477,3719.0120355848994,3719.0120355848994,3723.4524130702885,3723.4524130702885
Feature_10,35.82255402374176,35.82255402374176,25.928188001988968,25.928188001988968,30.3508154431885,30.3508154431885
Feature_11,-39.42185914004085,39.42185914004085,-48.47718351863065,48.47718351863065,-33.80453432574567,33.80453432574567
Feature_2,413.49012812832234,413.49012812832234,413.0316370747992,413.0316370747992,412.4225353397223,412.4225353397223
Feature_3,-958.304151963644,958.304151963644,-956.8594436310412,956.8594436310412,-957.0923707082405,957.0923707082405
Feature_4,1083.5236835530764,1083.5236835530764,1082.1639777126684,1082.1639777126684,1082.7690767135248,1082.7690767135248
Feature_5,519.8332553293021,519.8332553293021,511.8962474606197,511.8962474606197,512.0796164506547,512.0796164506547
Feature_6,-142.74748356158852,142.74748356158852,-144.61014833632896,144.61014833632896,-142.04841898421006,142.04841898421006
Feature_7,322.08136734751884,322.08136734751884,316.96713890479145,316.96713890479145,313.75521575343663,313.75521575343663
Feature_8,1666.9648168816532,1666.9648168816532,1645.1521565323899,1645.1521565323899,1662.5382596704744,1662.5382596704744
Feature_9,-91.41624684455495,91.41624684455495,-100.10549340266947,100.10549340266947,-85.81166235602991,85.81166235602991
