Threshold,Precision,Recall,F1,Accuracy
0.05,0.7078651685393258,1.0,0.8289473684210527,0.896
0.06,0.7078651685393258,1.0,0.8289473684210527,0.896
0.07,0.7078651685393258,1.0,0.8289473684210527,0.896
0.08,0.7078651685393258,1.0,0.8289473684210527,0.896
0.09,0.7078651685393258,1.0,0.8289473684210527,0.896
0.09999999999999999,0.7078651685393258,1.0,0.8289473684210527,0.896
0.10999999999999999,0.7078651685393258,1.0,0.8289473684210527,0.896
0.12,0.7078651685393258,1.0,0.8289473684210527,0.896
0.13,0.7078651685393258,1.0,0.8289473684210527,0.896
0.13999999999999999,0.7078651685393258,1.0,0.8289473684210527,0.896
0.14999999999999997,0.7078651685393258,1.0,0.8289473684210527,0.896
0.15999999999999998,0.7078651685393258,1.0,0.8289473684210527,0.896
0.16999999999999998,0.7078651685393258,1.0,0.8289473684210527,0.896
0.18,0.8541666666666666,0.9761904761904762,0.9111111111111111,0.952
0.19,0.8541666666666666,0.9761904761904762,0.9111111111111111,0.952
0.19999999999999996,0.8541666666666666,0.9761904761904762,0.9111111111111111,0.952
0.20999999999999996,0.8541666666666666,0.9761904761904762,0.9111111111111111,0.952
0.21999999999999997,0.8541666666666666,0.9761904761904762,0.9111111111111111,0.952
0.22999999999999998,0.8541666666666666,0.9761904761904762,0.9111111111111111,0.952
0.24,0.8541666666666666,0.9761904761904762,0.9111111111111111,0.952
0.24999999999999994,0.8541666666666666,0.9761904761904762,0.9111111111111111,0.952
0.25999999999999995,0.8541666666666666,0.9761904761904762,0.9111111111111111,0.952
0.26999999999999996,0.8541666666666666,0.9761904761904762,0.9111111111111111,0.952
0.27999999999999997,0.8541666666666666,0.9761904761904762,0.9111111111111111,0.952
0.29,0.8541666666666666,0.9761904761904762,0.9111111111111111,0.952
0.3,0.8541666666666666,0.9761904761904762,0.9111111111111111,0.952
0.30999999999999994,0.8541666666666666,0.9761904761904762,0.9111111111111111,0.952
0.31999999999999995,0.8541666666666666,0.9761904761904762,0.9111111111111111,0.952
