Model,CV_ROC_AUC_Mean,CV_ROC_AUC_Std,CV_AP_Mean,CV_F1_Mean,Test_Accuracy,Test_Precision,Test_Recall,Test_F1,Test_ROC_AUC,Test_AP,Test_Business_Cost
Decision Tree,0.9770565326981503,0.009178909629475554,0.9331086460129919,0.9194054218137007,0.968,0.9044117647058824,0.9761904761904762,0.9389312977099237,0.9897292250233427,0.9515920427796333,9900.0
Random Forest,0.981561707480747,0.0044291911476353404,0.9301605749444126,0.9246501402903811,0.974,0.9312977099236641,0.9682539682539683,0.9494163424124513,0.9842967490026313,0.9487467891417851,10700.0
Logistic Regression,0.9431209725934255,0.00489619255604247,0.8503532279076982,0.7515407560436282,0.842,0.6243386243386243,0.9365079365079365,0.7492063492063492,0.9409430438842205,0.832229362310475,37300.0
Baseline (Dummy),0.5,0.0,0.253,0.0,0.748,0.0,0.0,0.0,0.5,0.252,252000.0
