mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__criterion,param_classifier__max_depth,param_classifier__min_samples_leaf,param_classifier__min_samples_split,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.09004530906677247,0.030588818021616223,0.011771965026855468,0.002381635090159424,gini,3,1,2,"{'classifier__criterion': 'gini', 'classifier__max_depth': 3, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 2}",0.9035532994923858,0.8855721393034826,0.9035532994923858,0.8923076923076924,0.875,0.8919972861191894,0.010930411604197044,129,0.8888888888888888,0.8933500627352572,0.8888888888888888,0.8916562889165629,0.8962025316455696,0.8917973322150334,0.0027840521714243864
0.08240709304809571,0.0077800352620889905,0.011372900009155274,0.0026597574455964816,gini,3,1,5,"{'classifier__criterion': 'gini', 'classifier__max_depth': 3, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 5}",0.9035532994923858,0.8855721393034826,0.9035532994923858,0.8923076923076924,0.875,0.8919972861191894,0.010930411604197044,129,0.8888888888888888,0.8933500627352572,0.8888888888888888,0.8916562889165629,0.8962025316455696,0.8917973322150334,0.0027840521714243864
0.08183875083923339,0.01285890100331007,0.00970158576965332,0.0006388724784205496,gini,3,1,10,"{'classifier__criterion': 'gini', 'classifier__max_depth': 3, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 10}",0.9035532994923858,0.8855721393034826,0.9035532994923858,0.8923076923076924,0.875,0.8919972861191894,0.010930411604197044,129,0.8888888888888888,0.8933500627352572,0.8888888888888888,0.8916562889165629,0.8962025316455696,0.8917973322150334,0.0027840521714243864
0.08506641387939454,0.011166574314398128,0.010019779205322266,0.0011323032930821634,gini,3,1,20,"{'classifier__criterion': 'gini', 'classifier__max_depth': 3, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 20}",0.9035532994923858,0.8855721393034826,0.9035532994923858,0.8923076923076924,0.875,0.8919972861191894,0.010930411604197044,129,0.8888888888888888,0.8933500627352572,0.8888888888888888,0.8916562889165629,0.8962025316455696,0.8917973322150334,0.0027840521714243864
0.07694745063781738,0.007739541486688378,0.009911394119262696,0.0003830594851596855,gini,3,2,2,"{'classifier__criterion': 'gini', 'classifier__max_depth': 3, 'classifier__min_samples_leaf': 2, 'classifier__min_samples_split': 2}",0.9035532994923858,0.8855721393034826,0.9035532994923858,0.8923076923076924,0.875,0.8919972861191894,0.010930411604197044,129,0.8888888888888888,0.8933500627352572,0.8888888888888888,0.8916562889165629,0.8962025316455696,0.8917973322150334,0.0027840521714243864
0.046722030639648436,0.02255341863654982,0.008725547790527343,0.002720853882008499,gini,3,2,5,"{'classifier__criterion': 'gini', 'classifier__max_depth': 3, 'classifier__min_samples_leaf': 2, 'classifier__min_samples_split': 5}",0.9035532994923858,0.8855721393034826,0.9035532994923858,0.8923076923076924,0.875,0.8919972861191894,0.010930411604197044,129,0.8888888888888888,0.8933500627352572,0.8888888888888888,0.8916562889165629,0.8962025316455696,0.8917973322150334,0.0027840521714243864
0.015605020523071288,0.001035934651251421,0.00911855697631836,0.0008373131647834772,gini,3,2,10,"{'classifier__criterion': 'gini', 'classifier__max_depth': 3, 'classifier__min_samples_leaf': 2, 'classifier__min_samples_split': 10}",0.9035532994923858,0.8855721393034826,0.9035532994923858,0.8923076923076924,0.875,0.8919972861191894,0.010930411604197044,129,0.8888888888888888,0.8933500627352572,0.8888888888888888,0.8916562889165629,0.8962025316455696,0.8917973322150334,0.0027840521714243864
0.015196704864501953,0.001405590480733597,0.009912347793579102,0.0031977167333728765,gini,3,2,20,"{'classifier__criterion': 'gini', 'classifier__max_depth': 3, 'classifier__min_samples_leaf': 2, 'classifier__min_samples_split': 20}",0.9035532994923858,0.8855721393034826,0.9035532994923858,0.8923076923076924,0.875,0.8919972861191894,0.010930411604197044,129,0.8888888888888888,0.8933500627352572,0.8888888888888888,0.8916562889165629,0.8962025316455696,0.8917973322150334,0.0027840521714243864
0.01499943733215332,0.0006627545990392212,0.009606075286865235,0.0022050870577462953,gini,3,5,2,"{'classifier__criterion': 'gini', 'classifier__max_depth': 3, 'classifier__min_samples_leaf': 5, 'classifier__min_samples_split': 2}",0.9035532994923858,0.8855721393034826,0.9035532994923858,0.8923076923076924,0.875,0.8919972861191894,0.010930411604197044,129,0.8888888888888888,0.8933500627352572,0.8888888888888888,0.8916562889165629,0.8962025316455696,0.8917973322150334,0.0027840521714243864
0.01546478271484375,0.0008127679360434751,0.008852005004882812,0.0010139512244231555,gini,3,5,5,"{'classifier__criterion': 'gini', 'classifier__max_depth': 3, 'classifier__min_samples_leaf': 5, 'classifier__min_samples_split': 5}",0.9035532994923858,0.8855721393034826,0.9035532994923858,0.8923076923076924,0.875,0.8919972861191894,0.010930411604197044,129,0.8888888888888888,0.8933500627352572,0.8888888888888888,0.8916562889165629,0.8962025316455696,0.8917973322150334,0.0027840521714243864
0.015371894836425782,0.0007389860776632326,0.008686494827270509,0.00040858927632104466,gini,3,5,10,"{'classifier__criterion': 'gini', 'classifier__max_depth': 3, 'classifier__min_samples_leaf': 5, 'classifier__min_samples_split': 10}",0.9035532994923858,0.8855721393034826,0.9035532994923858,0.8923076923076924,0.875,0.8919972861191894,0.010930411604197044,129,0.8888888888888888,0.8933500627352572,0.8888888888888888,0.8916562889165629,0.8962025316455696,0.8917973322150334,0.0027840521714243864
