Model,Accuracy,Precision,Recall,F1,ROC-AUC,PR-AUC (AP)
Logistic_Regression,0.8929292929292929,0.792,0.7857142857142857,0.7888446215139442,0.944853099324644,0.8483578192161444
Decision_Tree_Gini_Unconstrained,0.9393939393939394,0.8870967741935484,0.873015873015873,0.88,0.9175377468060395,0.8067727970953777
Decision_Tree_Entropy_Unconstrained,0.9494949494949495,0.904,0.8968253968253969,0.900398406374502,0.9321525358110724,0.836992784992785
Tuned_Decision_Tree,0.9595959595959596,0.9076923076923077,0.9365079365079365,0.921875,0.9731900890437476,0.9325324602213567
