Threshold,Accuracy,Precision,Recall,F1_Score
0.05,0.9172,0.7673,0.9683,0.8561
0.1,0.9636,0.903,0.9603,0.9308
0.15,0.9636,0.903,0.9603,0.9308
0.2,0.9636,0.903,0.9603,0.9308
0.25,0.9657,0.9098,0.9603,0.9344
0.3,0.9657,0.9098,0.9603,0.9344
0.35,0.9596,0.9077,0.9365,0.9219
0.4,0.9596,0.9077,0.9365,0.9219
0.45,0.9596,0.9077,0.9365,0.9219
0.5,0.9596,0.9077,0.9365,0.9219
0.55,0.9596,0.9077,0.9365,0.9219
0.6,0.9596,0.9077,0.9365,0.9219
0.65,0.9616,0.9147,0.9365,0.9255
0.7,0.9616,0.9147,0.9365,0.9255
0.75,0.9616,0.9213,0.9286,0.9249
0.8,0.9616,0.9213,0.9286,0.9249
0.85,0.9071,0.9444,0.6746,0.787
0.9,0.9071,0.9444,0.6746,0.787
0.95,0.8869,0.9375,0.5952,0.7282
